event_id,origintime,magnitude,magnitude_source,max_mmi,latitude,longitude,depth_km,err_lat,err_lon,err_depth,err_origintime,state,county,status
9898,2019-01-03 00:14:07,1.6,OGS,None,36.26916667,-97.18166667,5.22,0.21,0.21,0.5,None,Oklahoma,Noble,Reviewed
9900,2019-01-03 01:13:49,1.1,OGS,None,36.45033333,-96.886,3.68,0.14,0.14,0.7,None,Oklahoma,Pawnee,Reviewed
9494,2019-01-03 01:40:36,1.5,OGS,None,36.02772522,-97.30848694,3.39,1.29,1.42,1.86,0.3124339,Oklahoma,Logan,Reviewed
9496,2019-01-03 03:37:33,1.5,OGS,None,36.446,-96.88516667,4.86,0.21,0.21,0.4,None,Oklahoma,Pawnee,Reviewed
9548,2019-01-03 03:57:09,1.5,OGS,None,36.44433333,-96.88433333,4.51,0.21,0.21,0.4,None,Oklahoma,Pawnee,Reviewed
9549,2019-01-03 04:00:25,2.4,OGS,None,36.44833333,-96.88583333,4.6,0.14,0.14,0.3,None,Oklahoma,Pawnee,Reviewed
9550,2019-01-03 04:07:39,1.3,OGS,None,36.4465,-96.88616667,4.46,0.21,0.21,0.4,None,Oklahoma,Pawnee,Reviewed
9553,2019-01-03 07:09:26,1.8,OGS,None,36.47516667,-98.20583333,7.03,0.21,0.21,0.5,None,Oklahoma,Alfalfa,Reviewed
9554,2019-01-03 07:46:11,0.1,OGS,None,36.38266667,-96.948,2.24,0.07,0.07,0.6,None,Oklahoma,Pawnee,Reviewed
9038,2019-01-03 09:50:51,1.5,OGS,None,35.10033333,-97.674,3.16,0.35,0.35,1.0,None,Oklahoma,McClain,Reviewed
4145,2019-01-03 10:32:09,2.8,OGS,None,37.36391449,-97.67945099,5.0,1.66,1.08,0.0,0.24379107,Kansas,Sumner,Preliminary
9555,2019-01-03 16:30:03,1.8,OGS,None,36.44516667,-96.88383333,4.29,0.21,0.21,0.4,None,Oklahoma,Pawnee,Reviewed
9556,2019-01-03 17:49:34,0.9,OGS,None,36.44816667,-96.88583333,2.67,0.14,0.14,1.2,None,Oklahoma,Pawnee,Reviewed
9557,2019-01-03 22:53:26,1.7,OGS,None,36.69366667,-98.66116667,6.5,0.28,0.28,0.9,None,Oklahoma,Woods,Reviewed
9558,2019-01-04 04:26:27,2.0,OGS,None,36.43633333,-98.78466667,7.76,0.21,0.21,0.3,None,Oklahoma,Major,Reviewed
9559,2019-01-04 06:32:04,1.1,OGS,None,36.96533333,-97.8485,5.12,0.21,0.21,1.2,None,Oklahoma,Grant,Reviewed
4154,2019-01-04 10:21:57,1.8,OGS,None,37.23403549,-97.96266174,3.76,2.63,1.72,1.81,0.42692036,Kansas,Harper,Preliminary
9560,2019-01-04 11:25:02,1.4,OGS,None,36.44433333,-96.8825,4.45,0.21,0.21,0.4,None,Oklahoma,Pawnee,Reviewed
9561,2019-01-04 11:52:27,0.4,OGS,None,36.44933333,-96.88483333,3.12,0.21,0.21,1.1,None,Oklahoma,Pawnee,Reviewed
9562,2019-01-04 17:11:23,0.8,OGS,None,36.43983333,-96.89,6.65,3.04,3.04,4.0,None,Oklahoma,Pawnee,Reviewed
9563,2019-01-05 00:14:04,1.5,OGS,None,36.11,-97.8655,2.99,0.14,0.14,0.5,None,Oklahoma,Kingfisher,Reviewed
9564,2019-01-05 02:14:49,1.9,OGS,None,36.217,-97.56316667,6.42,0.14,0.14,0.5,None,Oklahoma,Logan,Reviewed
9565,2019-01-05 03:51:49,1.0,OGS,None,36.323,-97.0725,3.95,0.28,0.28,1.0,None,Oklahoma,Payne,Reviewed
9566,2019-01-05 04:02:12,1.8,OGS,None,36.2175,-97.56583333,5.69,0.14,0.14,0.6,None,Oklahoma,Logan,Reviewed
9567,2019-01-05 04:19:29,1.7,OGS,None,35.08070755,-96.03282166,3.06,2.7,4.77,4.48,0.75616732,Oklahoma,Hughes,Reviewed
9568,2019-01-05 04:56:49,1.6,OGS,None,36.3615,-98.15,5.44,0.28,0.28,0.5,None,Oklahoma,Alfalfa,Reviewed
9569,2019-01-05 08:23:21,1.5,OGS,None,36.10133333,-97.85516667,4.22,0.14,0.14,0.5,None,Oklahoma,Kingfisher,Reviewed
9570,2019-01-05 09:51:27,1.6,OGS,None,36.21616667,-97.5705,6.07,0.14,0.14,0.5,None,Oklahoma,Logan,Reviewed
9573,2019-01-05 12:24:56,1.3,OGS,None,36.69034195,-97.68015289,3.35,1.84,1.75,2.13,0.41187636,Oklahoma,Grant,Reviewed
9575,2019-01-05 23:17:44,2.4,OGS,None,35.9065,-97.23116667,5.31,0.28,0.28,0.7,None,Oklahoma,Logan,Reviewed
10439,2019-01-06 03:49:46,1.9,OGS,None,35.0895,-97.72216667,7.0,0.71,0.71,1.1,None,Oklahoma,McClain,Reviewed
9576,2019-01-06 10:38:30,3.1,OGS,None,36.36816667,-98.1445,3.69,0.35,0.35,0.7,None,Oklahoma,Alfalfa,Reviewed
9577,2019-01-06 12:23:59,2.1,OGS,None,36.36866667,-98.1495,3.92,0.42,0.42,0.8,None,Oklahoma,Alfalfa,Reviewed
9578,2019-01-07 14:43:50,2.1,OGS,None,35.824,-98.24533333,6.25,0.28,0.28,1.2,None,Oklahoma,Blaine,Reviewed
9579,2019-01-07 16:43:07,3.1,OGS,None,36.81766667,-97.71133333,7.18,0.14,0.14,0.4,None,Oklahoma,Grant,Reviewed
9580,2019-01-07 17:16:59,2.0,OGS,None,36.4785,-98.20966667,7.4,0.21,0.21,0.6,None,Oklahoma,Alfalfa,Reviewed
4429,2019-01-07 22:59:51,2.9,OGS,None,36.67866667,-95.37683333,0.0,0.78,0.78,0.6,None,Oklahoma,Rogers,Preliminary
9040,2019-01-08 03:59:43,0.6,OGS,None,35.089,-97.82983333,16.77,0.92,0.92,2.0,None,Oklahoma,Grady,Reviewed
9582,2019-01-08 06:30:43,1.5,OGS,None,36.12716667,-97.8235,5.22,0.28,0.28,0.6,None,Oklahoma,Kingfisher,Reviewed
9584,2019-01-08 11:25:49,1.6,OGS,None,36.5135,-98.6105,6.26,0.35,0.35,0.5,None,Oklahoma,Major,Reviewed
9585,2019-01-09 07:39:53,1.1,OGS,None,36.54616667,-97.03033333,5.37,0.42,0.42,0.6,None,Oklahoma,Osage,Reviewed
9586,2019-01-09 15:26:21,1.4,OGS,None,36.4465,-96.8865,4.39,0.21,0.21,0.7,None,Oklahoma,Pawnee,Reviewed
9587,2019-01-09 16:52:56,1.8,OGS,None,36.44433333,-96.88516667,4.61,0.21,0.21,0.6,None,Oklahoma,Pawnee,Reviewed
9588,2019-01-09 19:31:54,0.9,OGS,None,36.44883333,-96.88716667,2.44,0.14,0.14,1.9,None,Oklahoma,Pawnee,Reviewed
9589,2019-01-09 19:33:04,1.1,OGS,None,36.44616667,-96.887,2.88,0.14,0.14,1.6,None,Oklahoma,Pawnee,Reviewed
9593,2019-01-09 19:33:43,0.7,OGS,None,36.44816667,-96.88816667,2.47,0.14,0.14,1.8,None,Oklahoma,Pawnee,Reviewed
4611,2019-01-09 22:56:02,2.6,OGS,None,36.67333333,-95.37666667,0.81,1.34,1.34,1.3,None,Oklahoma,Rogers,Preliminary
4438,2019-01-10 19:06:43,2.9,OGS,None,33.25902557,-97.92638397,5.0,1.94,2.68,0.0,0.34367815,Texas,Wise,Preliminary
9250,2019-01-10 21:59:25,1.1,OGS,None,35.10216667,-97.68266667,3.12,0.85,0.85,5.4,None,Oklahoma,McClain,Reviewed
9594,2019-01-11 02:39:18,1.0,OGS,None,36.45333333,-96.8875,6.42,1.27,1.27,4.0,None,Oklahoma,Pawnee,Reviewed
9595,2019-01-12 02:48:37,1.6,OGS,None,36.92466667,-97.483,6.32,0.42,0.42,1.0,None,Kansas,Sumner,Reviewed
9596,2019-01-12 07:31:18,1.5,OGS,None,35.98533333,-96.81816667,5.31,0.28,0.28,0.5,None,Oklahoma,Payne,Reviewed
9597,2019-01-12 10:21:59,1.4,OGS,None,37.11016667,-97.7965,3.37,0.42,0.42,1.2,None,Kansas,Sumner,Reviewed
9598,2019-01-13 06:26:19,0.8,OGS,None,36.42816667,-96.92816667,3.84,0.42,0.42,2.1,None,Oklahoma,Pawnee,Reviewed
10441,2019-01-13 10:13:05,1.7,OGS,None,35.38383333,-98.0955,6.8,0.64,0.64,1.7,None,Oklahoma,Canadian,Reviewed
9599,2019-01-13 12:45:49,1.3,OGS,None,37.0345,-98.11183333,3.25,0.92,0.92,4.0,None,Kansas,Harper,Reviewed
9600,2019-01-13 15:39:30,1.5,OGS,None,36.44716667,-96.882,4.67,0.21,0.21,0.4,None,Oklahoma,Pawnee,Reviewed
9601,2019-01-13 17:09:46,1.5,OGS,None,36.453,-98.77333333,7.1,0.28,0.28,0.5,None,Oklahoma,Major,Reviewed
9602,2019-01-13 19:39:50,1.5,OGS,None,36.84316667,-97.788,8.11,0.21,0.21,1.7,None,Oklahoma,Grant,Reviewed
9603,2019-01-14 05:05:02,1.8,OGS,None,36.27283333,-97.61683333,15.2,0.14,0.14,0.9,None,Oklahoma,Garfield,Reviewed
9604,2019-01-14 06:45:59,1.4,OGS,None,36.52416667,-98.98233333,6.29,0.71,0.71,0.6,None,Oklahoma,Woodward,Reviewed
9605,2019-01-14 07:21:04,1.8,OGS,None,36.931,-97.92766667,4.01,0.21,0.21,0.5,None,Oklahoma,Grant,Reviewed
9606,2019-01-14 08:20:07,3.6,USGS,None,36.27166667,-97.62016667,16.93,0.14,0.14,0.9,None,Oklahoma,Garfield,Reviewed
9609,2019-01-14 15:34:55,0.5,OGS,None,36.44883333,-96.8885,2.08,0.14,0.14,2.7,None,Oklahoma,Pawnee,Reviewed
9610,2019-01-14 16:13:39,1.0,OGS,None,36.394,-98.905,6.8,2.05,2.05,3.5,None,Oklahoma,Woodward,Reviewed
9611,2019-01-15 01:13:02,1.0,OGS,None,36.45666667,-98.77366667,5.68,0.21,0.21,0.3,None,Oklahoma,Major,Reviewed
9051,2019-01-15 02:30:54,1.0,OGS,None,35.12683333,-97.68633333,11.8,0.99,0.99,3.3,None,Oklahoma,McClain,Reviewed
9612,2019-01-15 07:13:09,1.8,OGS,None,36.218,-97.56733333,5.0,0.14,0.14,0.7,None,Oklahoma,Logan,Reviewed
9613,2019-01-15 07:14:21,1.4,OGS,None,36.21266667,-97.57533333,6.35,0.21,0.21,0.7,None,Oklahoma,Logan,Reviewed
9614,2019-01-15 09:05:24,0.6,OGS,None,36.45016667,-96.88716667,2.52,0.14,0.14,1.2,None,Oklahoma,Pawnee,Reviewed
9615,2019-01-15 10:34:12,2.2,OGS,None,36.4505,-96.879,6.46,0.28,0.28,0.4,None,Oklahoma,Pawnee,Reviewed
9616,2019-01-15 10:56:45,1.0,OGS,None,36.44983333,-96.8835,2.96,0.14,0.14,0.8,None,Oklahoma,Pawnee,Reviewed
9617,2019-01-15 11:49:10,1.9,OGS,None,36.27516667,-97.63716667,7.78,0.14,0.14,0.7,None,Oklahoma,Garfield,Reviewed
9618,2019-01-15 13:28:02,3.9,USGS,None,36.21833333,-97.56883333,8.78,0.14,0.14,5.2,None,Oklahoma,Logan,Reviewed
9620,2019-01-15 13:32:02,2.7,OGS,None,36.21866667,-97.57533333,5.0,0.14,0.14,0.6,None,Oklahoma,Logan,Reviewed
9621,2019-01-15 13:37:55,1.5,OGS,None,36.21633333,-97.57116667,7.73,0.14,0.14,0.7,None,Oklahoma,Logan,Reviewed
9622,2019-01-15 13:59:49,1.5,OGS,None,36.21833333,-97.57133333,5.0,0.14,0.14,0.7,None,Oklahoma,Logan,Reviewed
9623,2019-01-15 14:04:06,1.7,OGS,None,36.21766667,-97.57833333,5.0,0.21,0.21,0.8,None,Oklahoma,Logan,Reviewed
9624,2019-01-15 19:22:47,1.5,OGS,None,34.86733333,-97.3845,6.07,0.57,0.57,1.1,None,Oklahoma,Garvin,Reviewed
4759,2019-01-15 22:59:00,2.6,OGS,None,36.68316667,-95.38133333,0.0,0.78,0.78,0.7,None,Oklahoma,Rogers,Preliminary
9625,2019-01-15 23:02:25,1.5,OGS,None,36.22033333,-97.57366667,5.0,0.21,0.21,0.7,None,Oklahoma,Logan,Reviewed
9627,2019-01-16 03:34:30,4.0,USGS,None,37.05666667,-97.37333333,7.69,0.35,0.35,0.6,None,Kansas,Sumner,Reviewed
9628,2019-01-16 03:41:00,2.0,OGS,None,37.05683333,-97.3785,8.53,0.42,0.42,2.8,None,Kansas,Sumner,Reviewed
9629,2019-01-16 03:58:32,1.9,OGS,None,37.04866667,-97.38666667,4.87,0.49,0.49,0.9,None,Kansas,Sumner,Reviewed
9053,2019-01-16 04:35:34,1.5,OGS,None,35.26416667,-97.87,5.96,0.28,0.28,0.7,None,Oklahoma,Grady,Reviewed
9630,2019-01-16 04:55:19,2.1,OGS,None,35.6305,-97.14433333,7.8,0.14,0.14,0.5,None,Oklahoma,Oklahoma,Reviewed
9631,2019-01-16 08:54:51,1.9,OGS,None,37.04883333,-97.37283333,4.22,0.35,0.35,0.7,None,Kansas,Sumner,Reviewed
9632,2019-01-16 09:10:45,0.7,OGS,None,36.96216667,-97.839,5.19,0.42,0.42,2.3,None,Oklahoma,Grant,Reviewed
9633,2019-01-16 09:22:47,0.6,OGS,None,36.423,-96.92066667,4.1,0.21,0.21,0.9,None,Oklahoma,Pawnee,Reviewed
9636,2019-01-16 11:07:45,1.7,OGS,None,36.27766667,-97.505,5.0,0.14,0.14,0.6,None,Oklahoma,Noble,Reviewed
10442,2019-01-16 11:42:56,2.3,OGS,None,35.262,-97.86966667,7.16,0.14,0.14,0.3,None,Oklahoma,Grady,Reviewed
9637,2019-01-16 15:20:07,1.5,OGS,None,36.20933333,-97.54733333,7.14,0.21,0.21,0.6,None,Oklahoma,Logan,Reviewed
9638,2019-01-16 16:01:14,1.6,OGS,None,37.0485,-97.38516667,4.43,0.57,0.57,0.9,None,Kansas,Sumner,Reviewed
4758,2019-01-16 17:22:39,2.3,OGS,None,36.20716667,-95.85316667,0.0,0.49,0.49,0.5,None,Oklahoma,Tulsa,Preliminary
4748,2019-01-16 18:49:19,2.3,OGS,None,37.36898041,-97.98325348,3.06,2.0,1.55,1.51,0.30694236,Kansas,Harper,Preliminary
9055,2019-01-16 21:30:42,1.4,OGS,None,35.259,-97.87366667,7.3,0.35,0.35,0.6,None,Oklahoma,Grady,Reviewed
4771,2019-01-16 22:52:35,2.8,OGS,None,36.67733333,-95.37366667,0.0,0.64,0.64,0.6,None,Oklahoma,Rogers,Preliminary
9654,2019-01-17 02:06:53,0.9,OGS,None,36.95683333,-98.07433333,5.0,0.49,0.49,2.0,None,Kansas,Harper,Reviewed
9655,2019-01-17 08:14:14,0.4,OGS,None,36.431,-96.9255,3.95,0.21,0.21,0.7,None,Oklahoma,Pawnee,Reviewed
9057,2019-01-17 09:25:00,1.6,OGS,None,35.08083333,-97.69116667,6.98,0.28,0.28,0.6,None,Oklahoma,McClain,Reviewed
9663,2019-01-17 20:02:33,0.7,OGS,None,36.451,-96.88583333,2.39,0.14,0.14,1.5,None,Oklahoma,Pawnee,Reviewed
9664,2019-01-17 20:15:24,1.8,OGS,None,36.69833333,-98.427,5.0,0.28,0.28,0.7,None,Oklahoma,Alfalfa,Reviewed
9666,2019-01-17 21:16:30,1.7,OGS,None,36.36333333,-98.15683333,6.17,0.21,0.21,0.5,None,Oklahoma,Alfalfa,Reviewed
9668,2019-01-18 02:23:14,1.1,OGS,None,36.68881226,-97.68513489,3.83,3.03,2.51,3.39,0.76959859,Oklahoma,Grant,Reviewed
9669,2019-01-18 03:00:12,1.3,OGS,None,36.30854797,-97.49636078,3.79,1.95,1.46,2.4,0.36552805,Oklahoma,Noble,Reviewed
9058,2019-01-18 06:16:13,1.5,OGS,None,35.30183333,-97.93933333,5.91,0.49,0.49,0.9,None,Oklahoma,Grady,Reviewed
4783,2019-01-18 06:33:49,2.1,OGS,None,37.05048752,-97.36959839,12.71,5.16,3.28,5.51,0.55719721,Kansas,Sumner,Preliminary
9082,2019-01-18 08:22:33,1.1,OGS,None,35.29416667,-97.94333333,6.77,1.27,1.27,1.5,None,Oklahoma,Grady,Reviewed
9670,2019-01-18 08:31:19,1.9,OGS,None,36.075,-97.55683333,7.62,0.14,0.14,0.6,None,Oklahoma,Logan,Reviewed
9671,2019-01-18 14:41:50,2.2,OGS,None,36.786,-98.325,4.55,0.21,0.21,0.6,None,Oklahoma,Alfalfa,Reviewed
10445,2019-01-18 15:17:30,2.5,OGS,None,35.27966667,-97.94716667,8.78,0.28,0.28,1.6,None,Oklahoma,Grady,Reviewed
9947,2019-01-18 22:07:05,2.0,OGS,None,36.81883333,-97.713,7.12,0.21,0.21,0.5,None,Oklahoma,Grant,Reviewed
9948,2019-01-19 19:02:14,2.1,OGS,None,36.073,-97.56083333,7.98,0.14,0.14,0.5,None,Oklahoma,Logan,Reviewed
9950,2019-01-19 19:20:06,1.8,OGS,None,36.07416667,-97.561,6.53,0.35,0.35,0.6,None,Oklahoma,Logan,Reviewed
10446,2019-01-20 01:45:23,2.5,OGS,None,35.27716667,-97.86183333,5.51,0.21,0.21,0.5,None,Oklahoma,Grady,Reviewed
4825,2019-01-20 06:49:32,2.1,OGS,None,37.30889893,-97.68191528,5.0,5.19,2.69,0.0,0.62873836,Kansas,Sumner,Preliminary
9951,2019-01-20 10:55:36,1.8,OGS,None,36.22583333,-98.93466667,7.14,0.35,0.35,0.6,None,Oklahoma,Dewey,Reviewed
9952,2019-01-20 11:54:23,1.6,OGS,None,36.87216667,-97.71966667,6.35,0.21,0.21,0.7,None,Oklahoma,Grant,Reviewed
9953,2019-01-20 12:07:16,1.5,OGS,None,36.78966667,-97.674,6.66,0.21,0.21,0.6,None,Oklahoma,Grant,Reviewed
4834,2019-01-20 14:27:16,2.4,OGS,None,37.08214569,-97.36587524,5.0,7.28,3.57,0.0,0.91045987,Kansas,Sumner,Preliminary
10448,2019-01-20 23:42:30,2.0,OGS,None,35.27166667,-97.86983333,6.4,0.21,0.21,0.4,None,Oklahoma,Grady,Reviewed
4839,2019-01-21 01:29:16,2.9,OGS,None,37.05007172,-97.38095093,5.0,2.49,1.75,0.0,0.27030261,Kansas,Sumner,Preliminary
4843,2019-01-21 01:43:00,2.0,OGS,None,37.06086349,-97.38169098,5.0,4.98,2.92,0.0,0.51654849,Kansas,Sumner,Preliminary
9954,2019-01-21 03:57:19,1.2,OGS,None,35.91833333,-97.25033333,5.48,0.42,0.42,0.9,None,Oklahoma,Logan,Reviewed
9956,2019-01-21 04:30:48,2.0,OGS,None,36.28324509,-97.51082611,3.57,1.17,1.13,1.67,0.26021442,Oklahoma,Noble,Reviewed
9959,2019-01-21 05:27:35,3.1,OGS,None,36.362,-98.15566667,7.7,0.14,0.14,0.5,None,Oklahoma,Alfalfa,Reviewed
4867,2019-01-21 05:56:57,2.2,OGS,None,37.05766296,-97.38925934,5.0,4.56,2.57,0.0,0.47025146,Kansas,Sumner,Preliminary
10450,2019-01-21 06:28:01,1.9,OGS,None,35.26833333,-97.8745,6.87,0.21,0.21,0.4,None,Oklahoma,Grady,Reviewed
9961,2019-01-21 07:55:28,1.9,OGS,None,36.36333333,-98.16083333,7.69,0.14,0.14,0.5,None,Oklahoma,Alfalfa,Reviewed
9962,2019-01-21 11:07:34,1.6,OGS,None,35.91783333,-97.25516667,7.59,0.14,0.14,0.6,None,Oklahoma,Logan,Reviewed
9963,2019-01-22 10:48:00,2.2,OGS,None,36.50883333,-99.02816667,6.23,0.28,0.28,0.5,None,Oklahoma,Woodward,Reviewed
10452,2019-01-22 18:07:05,2.2,OGS,None,35.27416667,-97.87566667,6.79,0.21,0.21,0.4,None,Oklahoma,Grady,Reviewed
4956,2019-01-22 22:58:34,2.9,OGS,None,36.66916667,-95.37183333,0.0,0.64,0.64,0.5,None,Oklahoma,Rogers,Preliminary
9964,2019-01-23 11:44:48,1.9,OGS,None,34.68566667,-96.335,5.24,0.99,0.99,1.4,None,Oklahoma,Coal,Reviewed
9120,2019-01-23 14:45:19,1.5,OGS,None,35.269,-97.88183333,7.16,0.35,0.35,0.6,None,Oklahoma,Grady,Reviewed
9965,2019-01-23 20:16:36,1.6,OGS,None,36.2755,-97.64316667,6.37,0.28,0.28,0.7,None,Oklahoma,Garfield,Reviewed
4978,2019-01-23 21:02:26,2.4,OGS,None,36.20716667,-95.84133333,0.0,0.57,0.57,0.7,None,Oklahoma,Tulsa,Preliminary
4974,2019-01-23 21:04:52,2.4,OGS,None,34.7165,-96.352,0.0,0.57,0.57,0.4,None,Oklahoma,Coal,Preliminary
4976,2019-01-23 22:11:19,2.4,OGS,None,33.27435303,-97.90205383,1.4,1.67,2.35,1.89,0.28003417,Texas,Wise,Preliminary
9966,2019-01-24 02:54:52,1.1,OGS,None,36.0395,-97.4625,5.33,0.21,0.21,0.5,None,Oklahoma,Logan,Reviewed
9967,2019-01-24 07:31:43,1.6,OGS,None,34.9385,-97.31383333,3.3,0.35,0.35,0.8,None,Oklahoma,Cleveland,Reviewed
9968,2019-01-24 07:39:56,1.0,OGS,None,36.039,-97.2095,6.49,0.64,0.64,1.3,None,Oklahoma,Logan,Reviewed
9969,2019-01-24 09:30:22,1.4,OGS,None,36.20266667,-97.30583333,8.21,0.14,0.14,1.5,None,Oklahoma,Noble,Reviewed
9970,2019-01-24 11:56:25,2.2,OGS,None,34.06766667,-97.43283333,5.0,0.64,0.64,1.7,None,Oklahoma,Carter,Reviewed
9122,2019-01-24 14:27:28,1.4,OGS,None,35.28916667,-97.8835,5.04,0.49,0.49,0.8,None,Oklahoma,Grady,Reviewed
9972,2019-01-24 16:38:05,2.8,OGS,None,35.8615,-96.6915,6.45,0.14,0.14,0.3,None,Oklahoma,Lincoln,Reviewed
9973,2019-01-25 04:00:54,2.1,OGS,None,36.6835,-98.19916667,7.54,0.14,0.14,0.6,None,Oklahoma,Alfalfa,Reviewed
9974,2019-01-25 05:37:28,1.9,OGS,None,34.93966667,-97.3205,3.14,0.21,0.21,0.5,None,Oklahoma,Cleveland,Reviewed
10455,2019-01-25 05:48:16,2.4,OGS,None,35.271,-97.87883333,7.0,0.21,0.21,0.5,None,Oklahoma,Grady,Reviewed
9977,2019-01-25 07:03:32,1.7,OGS,None,36.5305,-99.17466667,3.0,0.42,0.42,0.6,None,Oklahoma,Woodward,Reviewed
9978,2019-01-25 08:21:42,1.3,OGS,None,35.85166667,-97.82333333,7.89,0.28,0.28,0.8,None,Oklahoma,Kingfisher,Reviewed
9980,2019-01-25 09:27:06,0.2,OGS,None,36.46716667,-96.99066667,1.22,0.35,0.35,0.7,None,Oklahoma,Osage,Reviewed
5042,2019-01-25 12:46:11,2.5,OGS,None,37.0754509,-97.37773895,5.0,3.85,2.56,0.0,0.4219501,Kansas,Sumner,Preliminary
10456,2019-01-25 15:04:35,2.3,OGS,None,35.27833333,-97.844,7.01,0.28,0.28,0.5,None,Oklahoma,Grady,Reviewed
9981,2019-01-25 16:58:50,1.3,OGS,None,36.36433333,-99.1835,14.08,0.42,0.42,1.6,None,Oklahoma,Woodward,Reviewed
9982,2019-01-25 17:51:44,2.2,OGS,None,36.21583333,-97.57683333,6.5,0.14,0.14,0.4,None,Oklahoma,Logan,Reviewed
9983,2019-01-25 18:26:56,2.2,OGS,None,34.82166667,-97.8585,12.97,0.28,0.28,0.9,None,Oklahoma,Grady,Reviewed
9985,2019-01-25 18:32:40,3.3,USGS,None,37.05466667,-97.37416667,6.54,0.42,0.42,0.7,None,Kansas,Sumner,Reviewed
9987,2019-01-25 19:03:24,1.7,OGS,None,35.8245,-97.39733333,5.58,0.21,0.21,0.5,None,Oklahoma,Logan,Reviewed
9988,2019-01-25 21:55:12,2.0,OGS,None,34.6035,-96.25916667,5.2,0.71,0.71,0.7,None,Oklahoma,Coal,Reviewed
9990,2019-01-26 04:46:40,1.1,OGS,None,37.064,-97.65833333,6.73,0.35,0.35,0.6,None,Kansas,Sumner,Reviewed
9128,2019-01-26 07:40:27,1.5,OGS,None,35.09383333,-97.74666667,4.0,0.64,0.64,1.6,None,Oklahoma,McClain,Reviewed
5101,2019-01-26 10:23:05,2.4,OGS,None,37.30212784,-97.97451019,5.0,4.53,2.32,0.0,0.55313357,Kansas,Harper,Preliminary
9992,2019-01-26 11:56:59,0.7,OGS,None,34.84966667,-98.02683333,5.54,0.92,0.92,2.1,None,Oklahoma,Grady,Reviewed
9994,2019-01-26 13:31:25,0.2,OGS,None,36.44866667,-96.8855,3.05,0.21,0.21,1.2,None,Oklahoma,Pawnee,Reviewed
9996,2019-01-26 16:54:01,1.3,OGS,None,35.97433333,-97.203,7.82,0.21,0.21,0.5,None,Oklahoma,Logan,Reviewed
9997,2019-01-26 17:55:24,1.6,OGS,None,35.974,-97.20633333,8.01,0.21,0.21,1.1,None,Oklahoma,Logan,Reviewed
9998,2019-01-26 20:10:22,0.6,OGS,None,36.4505,-96.896,3.41,0.07,0.07,0.6,None,Oklahoma,Pawnee,Reviewed
9252,2019-01-26 21:00:43,1.0,OGS,None,35.05296707,-97.6910553,4.36,4.56,4.71,5.67,1.82829103,Oklahoma,McClain,Reviewed
9130,2019-01-26 21:01:30,0.8,OGS,None,35.08943558,-97.71360016,4.31,2.4,2.58,2.99,0.86849008,Oklahoma,McClain,Reviewed
5114,2019-01-27 01:15:07,2.4,OGS,None,37.07510376,-97.35649109,5.0,3.44,2.13,0.0,0.39130807,Kansas,Sumner,Preliminary
